,SiteID,CommonName,Year,GrowthRate,ResStatus,WinterStage,HostCategory,Hostplant_Specialism_Score,Voltinism,WingSize_meanFemale,Wetland,Disturbed
0,2,Acadian Hairstreak,1997,-0.4210185329233611,2.0,1.0,3.0,2.0,1,1.6,1,0
1710,2,American Snout Butterfly,2004,-0.7579199802401594,0.0,0.0,3.0,2.0,2,2.2,0,0
1709,2,American Snout Butterfly,2003,0.41362894768032854,0.0,0.0,3.0,2.0,2,2.2,0,0
1708,2,American Snout Butterfly,2002,0.8693564306941295,0.0,0.0,3.0,2.0,2,2.2,0,0
1707,2,American Snout Butterfly,2001,0.07467244433347653,0.0,0.0,3.0,2.0,2,2.2,0,0
1706,2,American Snout Butterfly,2000,0.08433436839287278,0.0,0.0,3.0,2.0,2,2.2,0,0
1705,2,American Snout Butterfly,1999,-0.19174924618049616,0.0,0.0,3.0,2.0,2,2.2,0,0
1704,2,American Snout Butterfly,1998,0.4157059627982076,0.0,0.0,3.0,2.0,2,2.2,0,0
1703,2,American Snout Butterfly,1997,-0.21308812025514956,0.0,0.0,3.0,2.0,2,2.2,0,0
28840,2,Little Wood Satyr,2006,0.005694585043660716,2.0,2.0,2.0,3.0,1,2.1,0,0
28839,2,Little Wood Satyr,2005,0.8011543842042907,2.0,2.0,2.0,3.0,1,2.1,0,0
1711,2,American Snout Butterfly,2005,-0.5034411349748191,0.0,0.0,3.0,2.0,2,2.2,0,0
28838,2,Little Wood Satyr,2004,-0.5699183412956444,2.0,2.0,2.0,3.0,1,2.1,0,0
28836,2,Little Wood Satyr,2002,-0.4857780169352003,2.0,2.0,2.0,3.0,1,2.1,0,0
28835,2,Little Wood Satyr,2001,-0.12972637348662952,2.0,2.0,2.0,3.0,1,2.1,0,0
28834,2,Little Wood Satyr,2000,0.9133523753432247,2.0,2.0,2.0,3.0,1,2.1,0,0
28833,2,Little Wood Satyr,1999,-0.6521714145514539,2.0,2.0,2.0,3.0,1,2.1,0,0
28832,2,Little Wood Satyr,1998,1.1498952789060009,2.0,2.0,2.0,3.0,1,2.1,0,0
28831,2,Little Wood Satyr,1997,0.7567425665808183,2.0,2.0,2.0,3.0,1,2.1,0,0
35518,2,Northern Pearly-Eye,1997,12.745323932829644,2.0,2.0,2.0,3.0,2,2.8,1,0
35519,2,Northern Pearly-Eye,1998,-0.9512528450498362,2.0,2.0,2.0,3.0,2,2.8,1,0
35520,2,Northern Pearly-Eye,1999,-0.2498476347661116,2.0,2.0,2.0,3.0,2,2.8,1,0
35521,2,Northern Pearly-Eye,2000,3.51183347588339,2.0,2.0,2.0,3.0,2,2.8,1,0
28837,2,Little Wood Satyr,2003,1.3799685632185277,2.0,2.0,2.0,3.0,1,2.1,0,0
35522,2,Northern Pearly-Eye,2001,-0.7083075796195109,2.0,2.0,2.0,3.0,2,2.8,1,0
1712,2,American Snout Butterfly,2006,1.5820603762976577,0.0,0.0,3.0,2.0,2,2.2,0,0
1714,2,American Snout Butterfly,2008,-0.5969123927943545,0.0,0.0,3.0,2.0,2,2.2,0,0
3077,2,Azures,2013,1.324086974432113,2.0,3.0,3.0,4.0,3,1.42,0,1
3078,2,Azures,2014,-0.3801669171701756,2.0,3.0,3.0,4.0,3,1.42,0,1
3079,2,Azures,2015,0.550310713354109,2.0,3.0,3.0,4.0,3,1.42,0,1
3080,2,Azures,2016,-0.75015517442194,2.0,3.0,3.0,4.0,3,1.42,0,1
28850,2,Little Wood Satyr,2016,1.0142235683716057,2.0,2.0,2.0,3.0,1,2.1,0,0
28849,2,Little Wood Satyr,2015,0.2292322368243247,2.0,2.0,2.0,3.0,1,2.1,0,0
